                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1302,                 5.7185,                 4.2061,                      0,                      0,                      0,                      0,                 3.4363,                 5.3436,                 4.1585,               4.17e-06,               4.17e-06,               4.17e-06
                      2,                 2.8768,                 5.6178,                 4.3652,                      0,                      0,                      0,                      0,                 3.4363,                 5.3436,                 4.1579,             1.2498e-05,             1.2498e-05,             1.2498e-05
                      3,                 3.0291,                 5.6666,                 4.2509,                      0,                      0,                      0,                      0,                 3.4363,                 5.3432,                 4.1573,             2.0809e-05,             2.0809e-05,             2.0809e-05
                      4,                 2.8509,                 5.8639,                 4.3173,                      0,                      0,                      0,                      0,                 3.4368,                 5.3359,                 4.1565,             2.9103e-05,             2.9103e-05,             2.9103e-05
                      5,                 2.8197,                  5.876,                 4.3113,                      0,                      0,                      0,                      0,                 3.4345,                 5.3418,                 4.1562,             3.7381e-05,             3.7381e-05,             3.7381e-05
                      6,                 2.6579,                 5.6811,                  4.342,                      0,                      0,                      0,                      0,                  3.431,                 5.3386,                 4.1552,             4.5643e-05,             4.5643e-05,             4.5643e-05
                      7,                 2.7525,                 5.7007,                  4.258,                      0,                      0,                      0,                      0,                 3.4223,                 5.3445,                 4.1545,             5.3888e-05,             5.3888e-05,             5.3888e-05
                      8,                 3.1027,                 5.9031,                  4.279,                      0,                      0,                      0,                      0,                 3.4245,                  5.339,                 4.1531,             6.2117e-05,             6.2117e-05,             6.2117e-05
                      9,                 2.7298,                 5.8846,                 4.1929,                      0,                      0,                      0,                      0,                 3.4245,                 5.3389,                 4.1532,             7.0329e-05,             7.0329e-05,             7.0329e-05
                     10,                 2.9127,                 6.0333,                 4.3293,                      0,                      0,                      0,                      0,                 3.4245,                 5.3394,                 4.1518,             7.8524e-05,             7.8524e-05,             7.8524e-05
                     11,                 3.1389,                 5.8445,                 4.2466,                      0,                      0,                      0,                      0,                  3.425,                 5.3335,                 4.1516,             8.6703e-05,             8.6703e-05,             8.6703e-05
                     12,                 2.7662,                 5.7432,                 4.2082,                      0,                      0,                      0,                      0,                 3.4207,                 5.3336,                 4.1502,             9.4866e-05,             9.4866e-05,             9.4866e-05
                     13,                 2.6127,                 5.7755,                 4.2071,                      0,                      0,                      0,                      0,                 3.4186,                 5.3351,                 4.1492,             0.00010301,             0.00010301,             0.00010301
                     14,                 3.0147,                 5.6951,                 4.1827,                      0,                      0,                      0,                      0,                 3.4195,                 5.3311,                 4.1473,             0.00011114,             0.00011114,             0.00011114
                     15,                 2.9385,                 5.6116,                 4.1504,                      0,                      0,                      0,                      0,                 3.4186,                 5.3303,                 4.1462,             0.00011925,             0.00011925,             0.00011925
                     16,                 2.8687,                 5.7765,                 4.1439,                      0,                      0,                      0,                      0,                  3.409,                 5.3295,                 4.1444,             0.00012735,             0.00012735,             0.00012735
                     17,                 2.3132,                 5.6115,                 4.1634,                      0,                      0,                      0,                      0,                  3.409,                 5.3295,                 4.1433,             0.00013543,             0.00013543,             0.00013543
